,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
0,Elden Ring,"Jan 01, 2022",[],4.5,3K,3K,['Adventure'],"Elden Ring is a fantasy, action and open world game with RPG elements such as stats, weapons and spells. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",[],17K,3K,4K,4K
1,Hades,"Jan 01, 2019",[],4.3,2K,2K,['Adventure'],"A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants.",[],21K,3K,6K,3K
2,The Legend of Zelda: Breath of the Wild,"Jan 01, 2017",[],4.4,4K,4K,['Adventure'],"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the ",[],30K,2K,5K,2K
3,Undertale,"Jan 01, 2015",[],4.2,3K,3K,['Adventure'],"A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics.",[],28K,679,4K,1K
4,Hollow Knight,"Jan 01, 2017",[],4.4,3K,3K,['Adventure'],"A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.",[],21K,2K,8K,2K
5,Minecraft,"Jan 01, 2011",[],4.3,2K,2K,['Adventure'],"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or t",[],33K,1K,1K,230
6,Omori,"Jan 01, 2020",[],4.2,1K,1K,['Adventure'],"A turn-based surreal horror RPG in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.",[],7K,1K,4K,3K
7,Metroid Dread,"Jan 01, 2021",[],4.3,2K,2K,['Adventure'],"Join intergalactic bounty hunter Samus Aran in her first new 2D Metroid story in 19 years. Samus’ story continues after the events of the Metroid Fusion game when she descends upon planet ZDR to investigate a mysterious transmission sent to the Galactic Federation. The remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. Samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of ZDR?",[],9K,759,3K,3K
8,Among Us,"Jan 01, 2018",[],3.0,867,867,['Indie'],"Join your crew-mates in a multiplayer game of teamwork and betrayal! Play with 4-15 players online or via local WiFi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the Crew are Impostors bent on killing everyone!",[],25K,470,776,126
9,NieR: Automata,"Jan 01, 2017",[],4.3,2K,2K,['Brawler'],"NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.",[],18K,1K,6K,3K
10,Persona 5 Royal,"Jan 01, 2019",[],4.4,2K,2K,['Adventure'],An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.,[],12K,2K,5K,3K
11,Stray,"Jan 01, 2022",[],3.7,1K,1K,['Adventure'],"Lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find the way home.",[],7K,801,2K,3K
12,God of War,"Jan 01, 2018",[],4.2,2K,2K,['Adventure'],"God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.",[],21K,1K,4K,2K
13,Portal 2,"Jan 01, 2011",[],4.4,2K,2K,['Adventure'],"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.",[],29K,471,3K,1K
